INFLUENCEURS;SUIT OMAJ;SUIVI PAR OMAJ;TYPE DE CONTENU
claire_arnoux;0;1;sport
iznowgood_;0;1;mode éthique, équitable
chloeandyou;1;1;nourriture, écologie, slow
mathildeclauzet;0;0;mode, coloré, vintage
bonjourlasmala;1;1; photographie,  femme
melting.green;1;1;looks, mode éthique, économie responsable, écologie, nourriture
lapetillante_ju;0;1;slow, design, mobilier
asundaymorningperrine;1;1;écologie
carine.galli;1;1;sport
constancypense_;0;0;looks, vinted, mode, secondemain
jemerecycle;0;1;ecologie, mode, durable, secondemain
juliettekitsch;0;1;secondemain, vintage, luxe, haul, fashion, looks
daphneblt;0;0;écologie, secondemain, zérodéchet, looks
vicplusgreen;1;1;zérodéchet, mode, engagée, nourriture, mode éthique
rechutes;0;0;mode, durable, économie responsable
charissebabouche;0;0;économie responsable, mode, podcast
stylesurlaville;0;0;économie responsable, ecofriendly, mode, durable
lesbonnesappes;0;0;friperie, slow, vetementdocassion, secondemain, vide dressing, vintage
charlottecstr;0;1;mode, durable, slow, secondemain, durable
histoireseconde;0;1;secondemain, vintage, engagée
_bycam._;1;1;mode éthique, économie responsable, secondemain, upcycling 
my.slow.days;0;1;mode éthique, économie responsable, écologie, durable, slow
iamcathia__;0;0;looks, vinted, secondemain
aportugueseinparis;0;0;looks, coloré, secondemain, couture, engagée, vintage
florettenacer;0;0;looks, coloré, vintage, mode éthique, luxe
unpeudelou;0;1;slow, mode éthique, engagée, durable
maileuhnaye;0;0;secondemain, grandes tailles, looks, coloré, mode, économie responsable
jojolafripe_;0;0;secondemain, slow, vintage, zérodéchet, upcycling
zoekrk;1;0;secondemain, slow, mode, durable
aliaslouiseblog;1;1;mode, économie responsable, économie circulaire, slow, vintage
fansiefriperie;0;0;mode, engagée, secondemain, slow, durable
giucst.off;0;0;durable, vintage 
juliagauthier;0;0;engagée, durable, ecofriendly, vintage, secondemain
constancypense_;0;1;secondemain, vinted 
bubblebeadoff;0;0;secondemain, vintage
alyssuuurr;1;0;upcycling, secondemain, vintage, slow, durable, mode 
timothe_dkr;0;0;secondemain, vintage 
theimpactstory;0;1;écologie, secondemain
upcy_clo;1;0;secondemain, slow, upcycling, vintage, engagée, secondevie
lauvestds;0;0;secondemain, vintage, mode éthique, reconditionné
_jetable;0;1;économie responsable, engagée, slow, mode éthique, durable, ecofriendly 
minimal.quotidien;0;0;écologie, économie responsable, durable, engagée, mode éthique
lafille_delamarquise;0;0;upcycling, secondemain, vintage, économie responsable, mode éthique, durable, engagée
mademoisellemodeuse;0;1;vintage, secondemain, économie responsable, mode éthique 
mylittlewayoflife;1;1;slow , écolo,  durable, économie responsable, mode éthique, secondemain
loren_soyonselegantes;0;0;slow , durable, mode consciente, économie responsable, mode éthique
emmaverdierkremer;1;0;vintage, luxe, secondemain, upcycling, durable, économie responsable
manonl.delahaute;0;0;secondemain, slow, upcycling, vintage
alienorminuit;0;1;secondemain, slow , durable 
anadasilv__;1;1;mode éthique, slow, économie responsable, durable
lananasblonde;1;1;slow, économie responsable, secondemain, durable, mode éthique
cyrielleblazy;0;0;mode éthique, secondemain, durable, économie responsable
lespetitsgestes;1;1;mode éthique,  durable, engagée, économie responsable, upcycling
mellisuga.couture;0;0;upcycling, vintage, engagée
candice_tya;0;0;économie responsable, mode éthique, durable, économie circulaire
jesuisunebelette;1;0;mode éthique, upcycling, secondemain, économie responsable, slow
greenylene;0;0;durable, mode éthique, économie responsable, vintage, secondemain
elise_ecogestes;0;0;économie circulaire, économie responsable, ecofriendly, secondemain
lasourischineuse;0;0;secondemain, durable, slow
alittlepieceofananas;1;1;secondemain, mode éthique, upcycling, économie responsable, économie circulaire, vintage
OMAJ;0;0;secondemain, mode éthique, économie circulaire, économie responsable, slow, engagée
